instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam est une religion de paix, d'amour et fraternité.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Eradicate these pests' sounds like quite a dehumanising threat. Maybe we should stop your benefits, free housing, and national health service. It might be the only language you will understand, to stop you from being so discriminatory.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La république respecte ses citoyens et leur confession.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","""prima gli italiani"" anche nel violentare le donne?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non ces le droit à chaque personne de s'habillier librement.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Yes gladly, once you leave mine.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Soyons islamophobes et combattons l'islam.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We do not want to admit that islam isn't a religion, it is only a cult that support murder.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Gli islamici mentono sempre e speculano su ognicosa.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Sicuramente ci siamo tutti parte del regno animale, e come tutti gli animali, ci ammaliamo, nel corpo, nella mente, e compiamo azioni deplorevoli.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Reasoning by contradiction: Muslims are over one billion on earth, more than 4 million in France. If this assertion were true, there would otherwise be more victims!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La loi interdit d'obliger au port du voile. Si elles ne portent pas plainte, c'est qu'elles le portent volontairement.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Devrions-nous réagir face à ce discours? Le silence est la meilleure des réponses,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is not true. How can you say this about an entire faith? Just hatred.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Always the same words against foreigners.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is not and cannot be only a matter of adaptation. A culture must be understood and this can only be done with good integration projects. All (Catholic Christians and Buddhists), have to adapt to today's multicultural world.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",If the Koran was published today it would be banned as hate speech.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Vive la France mon beau pays.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Stats show Muslims are more likely to be victims of crime, not perpetrators. This kind of sentiment is false only serves to fuel hate crime against Muslims.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","That sounds like quite a threat. Remind me again who's supposed to be the dangerous, violent group here?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Not at all, it is about knowing how to live and respect for each religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je ne réponds jamais à cette affirmation car il s'agit d'une affirmation irrationnelle.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Crede fermamente in questo suo commento? Perché?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are no more likely to be reliant on benefits or social housing than the non-Muslim British population. Stop trying to depict Muslims as a drain on our national resources and try and consider the positive contributions they make.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Lei si è mai sentito di doversi adeguare alla tradizione islamica?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What about other dressing styles that are not common in some cultures?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Je vous invite à débrancher votre tv et à vous rendre à une mosquée pour rencontrer,échanger et apprendre.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Speriamo che chiamino buoni architetti, la mia parrocchia sembra un enorme garage di cemento.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I am there.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is certain that at this rate, they will be completely rejected, no school outings, no swimming pool, no sports and no job. Whose fault is it?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Noi accogliamo i musulmani e provvediamo a loro, ma loro vogliono solo ucciderci: sembrano più delle bestie che degli uomini.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Do you suffer from some nightmare or go backwards with the time machine, to the stone age?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",If I say it and find one or two online references does that make it true? What if I write: 'The vast majority of Islamophobes are unemployed and refuse to work.' ?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Lei dice che ciò che porta a compiere atti di terrorismo è il proprio paese di provenienza? Dunque, se nasci in Egitto hai la carriera spianata?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Dobbiamo fare attenzione al ritorno a fatti già avvenuti in passato, verranno riaccesi gli altiforni!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans sont sombres.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Replace islam with any other religion and see just how deeply offensive what you just said is.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sono animali.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are weak-minded.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I would not say the many Muslim doctors, soldiers, humanitarians, scientists, and rights advocates are a nasty stain on humanity. Generalised hate like this, however, is.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Except doctors, surgeons, nurses, transport workers, scientists, artists, sports personalities. Anyone else a fan of Monty Python?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Beaucoup de gens ne les appliquent pas,cela ne vous pose pas de problème?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",In today's world we do not need more violence. Do you believe strongly in this statement? Why?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is a medieval religion.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Have you read the Koran? Because for me you haven't. Islam is a religion of peace.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Un'affermazione distopica che neanche Attila condividerebbe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est que la propagande de masse fonctionne bien.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are human beings who believe in God.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Fgm is very serious breach of human rights which we need to address as an international community but it does not come from Islam, we need to look at the whole problem to tackle it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","(en réagissant à une attaque terroriste:) encore un bouddhiste, et ils veulent nous faire croire que l'islam est une religion de paix et de tolérance.",hate
